Species,Peak Freq (Hz),Q1 Freq (Hz),Q3 Freq (Hz),IQR BW (Hz),Freq 5% (Hz),Freq 95% (Hz),BW 90% (Hz)
CLRA,2789.1,2367.2,3046.9,679.7,1875,4851.6,2976.6
CLRA,2554.7,2554.7,2765.6,210.9,1593.8,4125,2531.2
CLRA,2906.2,2695.3,3750,1054.7,1851.6,4359.4,2507.8
CLRA,2718.8,2648.4,3421.9,773.4,1687.5,4523.4,2835.9
CLRA,2671.9,2601.6,4218.8,1617.2,1898.4,4781.2,2882.8
CLRA,2460.9,2484.4,3210.9,726.6,2437.5,3656.2,1218.8
CLRA,2554.7,2554.7,2929.7,375,2484.4,4687.5,2203.1
CLRA,1593.8,1617.2,3070.3,1453.1,1500,4242.2,2742.2
CLRA,2671.9,2625,3023.4,398.4,2039.1,3632.8,1593.8
CLRA,3210.9,3187.5,4242.2,1054.7,2179.7,4875,2695.3
CLRA,2953.1,2859.4,3703.1,843.8,2039.1,4453.1,2414.1
CLRA,3445.3,2578.1,3468.8,890.6,2156.2,4640.6,2484.4
CLRA,3562.5,3375,3867.2,492.2,2742.2,4757.8,2015.6
CLRA,2250,2250,3046.9,796.9,1851.6,4312.5,2460.9
CLRA,2695.3,2671.9,3257.8,585.9,2109.4,4289.1,2179.7
CLRA,2718.8,2460.9,2906.2,445.3,2109.4,4781.2,2671.9
CLRA,3492.2,2460.9,3304.7,843.8,1921.9,3609.4,1687.5
CLRA,3421.9,3070.3,3421.9,351.6,2601.6,3937.5,1335.9
CLRA,2132.8,2132.8,3046.9,914.1,1921.9,4054.7,2132.8
CLRA,2273.4,2250,2835.9,585.9,1875,3000,1125
CLRA,2835.9,2437.5,2835.9,398.4,1992.2,3140.6,1148.4
CLRA,2414.1,2414.1,3304.7,890.6,2109.4,3421.9,1312.5
CLRA,2226.6,1968.8,2742.2,773.4,1921.9,3140.6,1218.8
CLRA,3257.8,2648.4,3773.4,1125,1734.4,4757.8,3023.4
CLRA,2929.7,2460.9,2953.1,492.2,1898.4,4804.7,2906.2
CLRA,2460.9,2460.9,2835.9,375,1570.3,4171.9,2601.6
CLRA,2906.2,2250,3328.1,1078.1,1828.1,4523.4,2695.3
CLRA,2695.3,2648.4,3210.9,562.5,1804.7,4593.8,2789.1
CLRA,2742.2,2484.4,3304.7,820.3,1804.7,4687.5,2882.8
CLRA,3304.7,2554.7,3304.7,750,2226.6,4054.7,1828.1
CLRA,2601.6,2601.6,2789.1,187.5,2484.4,3562.5,1078.1
CLRA,3421.9,2437.5,3421.9,984.4,1593.8,4289.1,2695.3
CLRA,2718.8,2554.7,2742.2,187.5,2015.6,3609.4,1593.8
CLRA,3375,3328.1,3609.4,281.2,2273.4,4500,2226.6
CLRA,3468.8,2648.4,3585.9,937.5,2132.8,4406.2,2273.4
CLRA,2601.6,2578.1,3328.1,750,2250,4546.9,2296.9
CLRA,3539.1,3187.5,3867.2,679.7,2648.4,4312.5,1664.1
CLRA,2648.4,2484.4,3281.2,796.9,1710.9,4617.2,2906.2
CLRA,2718.8,2695.3,2906.2,210.9,1992.2,3914.1,1921.9
CLRA,2625,2601.6,2718.8,117.2,2273.4,4664.1,2390.6
CLRA,2648.4,2437.5,3421.9,984.4,1945.3,3609.4,1664.1
CLRA,3164.1,3140.6,3398.4,257.8,2812.5,3937.5,1125
CLRA,3023.4,2343.8,3046.9,703.1,1757.8,4078.1,2320.3
CLRA,2179.7,2132.8,2718.8,585.9,1851.6,3000,1148.4
CLRA,2835.9,2578.1,2859.4,281.2,1945.3,3140.6,1195.3
CLRA,2742.2,2484.4,3140.6,656.2,2132.8,3351.6,1218.8
CLRA,3679.7,2226.6,3539.1,1312.5,1875,3820.3,1945.3
CLRA,3515.6,2718.8,4312.5,1593.8,1992.2,4781.2,2789.1
CLRA,2859.4,2625,4382.8,1757.8,1875,4851.6,2976.6
CLRA,2625,2531.2,2718.8,187.5,1593.8,3890.6,2296.9
CLRA,2835.9,2507.8,3281.2,773.4,1781.2,4546.9,2765.6
CLRA,3257.8,2460.9,3257.8,796.9,1570.3,4406.2,2835.9
